text,n_instances,mean_complexity,genre,epoche,date
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10842",5,4299.4,Namenliste/Onomasticon,Neues Reich,-1148
"D. Assiut N13.1 TAS2",4,4276.5,Besuchertext,Neues Reich,-1422.5
"Chicago, Institute for the Study of Ancient Cultures Museum, E25378",5,4251,Kemit,Neues Reich,-1309.5
"London, Petrie Museum of Egyptian Archaeology, 32230",2,4234.5,Administrativer Text,Neues Reich,-1334.5
"Leiden, Rijksmuseum van Oudheden, AMS 26 a",6,4185.33333333333,nicht spezifiziert,Neues Reich,-1240.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10499 vo",1,4161,Erzählung,Mittleres Reich,-1879
"Leiden, Rijksmuseum van Oudheden, AMS 27",6,4158.16666666667,nicht spezifiziert,Neues Reich,-1240.5
"Kairo, Ägyptisches Museum, CG 25209",1,4155,nicht spezifiziert,Neues Reich,-1309.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10002",2,4151.5,Brief,Mittleres Reich,-1949.5
"London, Petrie Museum of Egyptian Archaeology, 32202",1,4145,Brief,Mittleres Reich,-1802
"Strasbourg Ff",1,4141,nicht spezifiziert,Altes Reich,-2263
"D. Hatnub 27",3,4133.33333333333,Biographischer Text,Erste Zwischenzeit,-2092.5
"Kairo, Ägyptisches Museum, CG 25208",2,4131,nicht spezifiziert,Neues Reich,-1309.5
"Kairo, Ägyptisches Museum, CG 25212",2,4118.5,nicht spezifiziert,Neues Reich,-1309.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3048 ro",22,4117.13636363636,Hymnus im Götterkult,Dritte Zwischenzeit,-830
"New York City, Metropolitan Museum of Art, 22.3.525",1,4115,Rechnung,Mittleres Reich,-1970.5
"London, British Museum, EA 10184",13,4113.38461538462,Königsname und Titel,Neues Reich,-1246
"Kairo, Ägyptisches Museum, CG 58038",23,4107.39130434783,Hymnus im Götterkult,Neues Reich,-1413.5
"New York City, Metropolitan Museum of Art, 15.3.988",8,4093.25,Kemit,Mittleres Reich,-1817.5
"D. Abusir Steinmetzaufschrift",5,4081,nicht spezifiziert,Altes Reich,-2419.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10016",2,4076,Brief,Mittleres Reich,-1813.5
"London, Petrie Museum of Egyptian Archaeology, 32196",3,4052,Modellbrief,Mittleres Reich,-1802
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3110",1,4049,nicht spezifiziert,Spätzeit,-487.5
"D. Hatnub 12",2,4031,nicht spezifiziert,Erste Zwischenzeit,-1905
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3027",6,4025.66666666667,Magischer Text,Neues Reich,-1422.5
"P. Abusir Kairo Fragm. η",1,3999,Administrativer Text,Altes Reich,-2394.5
"Kairo, Institut français d’archéologie orientale, 2582",2,3976.5,Kemit,Neues Reich,-1182
"P. Abusir Kairo Fragm. b",3,3970,Administrativer Text,Altes Reich,-2394.5
"D. Hatnub 38",1,3961,nicht spezifiziert,Erste Zwischenzeit,-1905
"London, British Museum, EA 10182",63,3953.03174603175,Lehre,Neues Reich,-1199.5
"P. Strasbourg Ei",1,3950,nicht spezifiziert,Altes Reich,-2263
"Turin, Museo Egizio, CGT 57286",6,3937.16666666667,Kemit,Neues Reich,-1182
"P. Abusir Kairo Fragm. ψ",1,3916,Administrativer Text,Altes Reich,-2394.5
"Tally Stone of mꜣꜤ.t-kꜣ-rꜤ 2",1,3896,nicht spezifiziert,Neues Reich,-1465.5
